FIPS,Pop,Density,HH,pop_lt_5,pct_lt_5,pop_gt_65,pct_gt_65,MedAge,White,Pctwhite,Black,Pctblack,Hispanic,PctHispanic,PctImmigra,Unemployed,InLaborFocre,pct_unemployed,MdHHInc,PctVacant,PctHighSch,PctBA,PctGrad,Md_Value
470370109012 ,918,1259.563,360,50,0.054466231,149,0.162309368,48.4,697,0.759259259,196,0.213507625,9,0.009803922,0,18,452,0.039823009,60729,0.106699752,0.87281399,0.33863275,0.112877583,113700
470370109013 ,1629,1465.185,598,39,0.023941068,250,0.153468386,40.3,749,0.459791283,727,0.446286065,9,0.005524862,0.065070595,14,1028,0.013618677,60152,0.053797468,0.910898966,0.312649165,0.128878282,114000
470370109031 ,1208,1675.588,352,219,0.181291391,6,0.004966887,24.1,309,0.255794702,402,0.332781457,556,0.460264901,0.307119205,35,584,0.059931507,35366,0.053763441,0.606946984,0.100548446,0.020109689,114100
470370109032 ,2341,1768.617,723,194,0.082870568,271,0.115762495,27.9,101,0.043143956,2216,0.946604015,0,0,0.021358394,72,1037,0.069431051,37109,0.1612529,0.80351682,0.107798165,0.02675841,114300
470370109033 ,2182,5027.363,836,198,0.090742438,161,0.073785518,32.3,101,0.046287809,2053,0.940879927,43,0.019706691,0.018790101,127,985,0.12893401,27295,0.062780269,0.814381271,0.153846154,0.061036789,114700
470370109041 ,1746,3784.162,823,101,0.057846506,186,0.10652921,35.3,172,0.098510882,1574,0.901489118,0,0,0.015463918,201,976,0.205942623,21344,0.024881517,0.853146853,0.266608392,0.069055944,115300
470370109042 ,1015,2096.318,427,51,0.050246305,195,0.192118227,42.8,137,0.134975369,878,0.865024631,0,0,0.025615764,109,539,0.202226345,32409,0.161100196,0.695652174,0.131837307,0.039270687,115400
470370110011 ,1040,3422.976,471,87,0.083653846,77,0.074038462,30,388,0.373076923,615,0.591346154,31,0.029807692,0,272,590,0.461016949,16619,0.279816514,0.6022187,0.039619651,0.017432647,115400
470370110012 ,1429,1800.169,546,178,0.124562631,59,0.041287614,36.1,687,0.480755773,315,0.22043387,751,0.525542337,0.230230931,90,576,0.15625,24107,0.09602649,0.734813084,0.046728972,0.021028037,115500
470370110013 ,781,1630.717,401,23,0.029449424,194,0.248399488,55.2,186,0.23815621,504,0.645326504,0,0,0,22,346,0.063583815,47583,0,0.7102526,0.224368499,0.158989599,115500
470370110014 ,665,655.2404,256,0,0,40,0.060150376,37,195,0.293233083,470,0.706766917,27,0.040601504,0,49,410,0.119512195,33214,0.207430341,0.834090909,0.106818182,0.029545455,115800
470370110015 ,1436,4176.026,495,118,0.082172702,95,0.066155989,24.8,490,0.341225627,946,0.658774373,0,0,0,73,771,0.094682231,33125,0.176372712,0.674681754,0.159830269,0.077793494,115900
